Kurs;Tag_Nr;Tag_Titel;Gruppe_Key;Gruppe_Label;Rolle;Level;Woche;Frage_Nr;Kategorie;Frage;Anzahl_Optionen;Richtige_Antworten;Schwierigkeit;Erklaerung;Quelle;Quelle_URL;Option_A;Option_B;Option_C;Option_D;Korrekte_Optionen
KI-Beauftragter (TÜV-Fragenpool);;Prompting & Kommunikation;tuev;TÜV-Fragenpool;;;;01;Prompting & Kommunikation;Welche Besonderheiten gelten beim Prompting für Bildgenerierung im Vergleich zu Textgenerierung?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Prof. Kommunikation_Promt._01;;Bei der Formulierung des gewünschten Outputs kann man auf Angaben verzichten, da das Bildformat automatisch generiert wird;Reine narrative Formulierungen ohne visuelle Details;Aufnahme von Szenenbeschreibungen mit Objekten und deren Beziehungen;Nutzung visueller Attribute wie Farben, Stile und Perspektiven;C, D
KI-Beauftragter (TÜV-Fragenpool);;Prompting & Kommunikation;tuev;TÜV-Fragenpool;;;;02;Prompting & Kommunikation;Welche Prompting-Strategien führen typischerweise zu besseren Ergebnissen in der Textgenerierung?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Prof. Kommunikation_Promt._02;;Iteratives Verfeinern der Prompts;Völliger Verzicht auf Beispiele, um die KI nicht einzuschränken;Nutzung klarer Rollenbeschreibungen („Du bist …“);Bewusst unstrukturierte Prompts, damit die KI kreativer wird;A, C
KI-Beauftragter (TÜV-Fragenpool);;Prompting & Kommunikation;tuev;TÜV-Fragenpool;;;;03;Prompting & Kommunikation;Ein Marketing-Team testet verschiedene Prompt-Varianten. Welche Arten von Prompting sind in der Praxis am verbreitetsten?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Prof. Kommunikation_Promt._03;;Zero-Shot-Prompting (keine Beispiele, nur Aufgabe);Multi-Prompting mit zufälligen Anweisungen ohne Struktur;Few-Shot-Prompting (mit wenigen Beispielen);Chain-of-Thought-Prompting (Schritt-für-Schritt-Anleitung);A, C, D
KI-Beauftragter (TÜV-Fragenpool);;Prompting & Kommunikation;tuev;TÜV-Fragenpool;;;;04;Prompting & Kommunikation;In welchem Szenario ist Few-Shot-Prompting besonders nützlich?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Prof. Kommunikation_Promt._04;;Wenn man ausschließlich Bilder generieren möchte;Wenn es keine relevanten Beispieldaten gibt;Wenn Konsistenz über verschiedene Ausgaben hinweg wichtig ist;Wenn die KI ein Format anhand weniger Beispiele lernen soll;C, D
KI-Beauftragter (TÜV-Fragenpool);;Prompting & Kommunikation;tuev;TÜV-Fragenpool;;;;05;Prompting & Kommunikation;Welche fortgeschrittenen Prompting-Methoden helfen, komplexe Aufgaben besser zu strukturieren?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Prof. Kommunikation_Promt._05;;Conversational-Prompting;Self-Consistency (Vergleich mehrerer Outputs);Role-Prompting (der KI eine spezifische Identität geben);Chain-of-Thought (Erzwingen logischer Zwischenschritte);B, D
KI-Beauftragter (TÜV-Fragenpool);;Prompting & Kommunikation;tuev;TÜV-Fragenpool;;;;06;Prompting & Kommunikation;Welche Elemente gehören zu den Schlüsselkomponenten eines effektiven Prompts?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Prof. Kommunikation_Promt._06;;Erwartetes Ausgabeformat;Einbettung von Kontextinformationen;Klare Aufgabenbeschreibung;Die genauen Angaben zu Datum und Uhrzeit des Prompts;A, B, C
KI-Beauftragter (TÜV-Fragenpool);;Prompting & Kommunikation;tuev;TÜV-Fragenpool;;;;07;Prompting & Kommunikation;Ein Unternehmen möchte die Qualität seiner KI-Ausgaben verbessern. Welche Prompt-Komponenten sind dabei besonders hilfreich?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Prof. Kommunikation_Promt._07;;Angaben zum Kontext und dem gewünschten Ergebnis;Bewusster Verzicht auf Struktur, damit die KI „frei“ antwortet;Angabe von Beispielen für gewünschte Antworten;Vorgaben für Stil oder Tonalität;A, C, D
KI-Beauftragter (TÜV-Fragenpool);;Prompting & Kommunikation;tuev;TÜV-Fragenpool;;;;08;Prompting & Kommunikation;Worin liegt der Unterschied zwischen einem schwach formulierten und einem starken Prompt?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Prof. Kommunikation_Promt._08;;Schwache Prompts liefern meist präzisere Ergebnisse;Schwache Prompts enthalten oft unpräzise oder mehrdeutige Formulierungen;Starke Prompts verzichten auf Beispiele;Starke Prompts definieren klar den Kontext;B, D
KI-Beauftragter (TÜV-Fragenpool);;Prompting & Kommunikation;tuev;TÜV-Fragenpool;;;;09;Prompting & Kommunikation;Welche Komponenten erhöhen die Reproduzierbarkeit von KI-Ausgaben am stärksten?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Prof. Kommunikation_Promt._09;;Exakte Vorgabe des gewünschten Ausgabeformats;Die Fixierung von Modellparametern wie der 'Temperature' auf einen Wert nahe Null sowie die Festlegung eines einheitlichen 'Seed';Die einmalige Hinterlegung der Präferenzen und Custom Instructions im KI-Tool;Klare Definition von Eingabeparametern;A, B, D
KI-Beauftragter (TÜV-Fragenpool);;Prompting & Kommunikation;tuev;TÜV-Fragenpool;;;;10;Prompting & Kommunikation;Ein Team möchte Textgenerierung optimieren. Welche Prompting-Methoden sind hier besonders hilfreich?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Prof. Kommunikation_Promt._10;;Zufällige Schlagwortlisten ohne Zusammenhang;Beispiele für gewünschte Schreibweise einfügen;Vorgabe der Textlänge oder Struktur (z. B. Überschriften);Angabe von Stilvorgaben (z. B. „formell“, „prägnant“);B, C, D
